source,target,type
"McElrath, Thomas Christian","Hennen, Derek",unknown
"McElrath, Thomas Christian","Robinson, Jason L.",unknown
"Robinson, Jason L.","Bilger, Erika",unknown
"Bilger, Erika","Repiscak, Maria",unknown
"McElrath, Thomas Christian","Brinckley, Graham",unknown
"Brinckley, Graham","Brinckley, Linnea",unknown
"Brinckley, Graham","Voss, Renly",unknown
"Voss, Renly","Voss, Jane",unknown
"McElrath, Thomas Christian","McElrath, Karen Ruth",unknown
"McElrath, Karen Ruth","McElrath, Anne Elizabeth",unknown
"McElrath, Thomas Christian","Johnston, Andrew",unknown
"McElrath, Thomas Christian","Hart, Lily",unknown
"Hart, Lily","Newman, Evan A.",unknown
"Newman, Evan A.","DeWalt, R. Edward",unknown
"DeWalt, R. Edward","Heinold, Brian",unknown
"Heinold, Brian","Zimmerman, A. J.",unknown
"Heinold, Brian","Johnson, S. L.",unknown
"Heinold, Brian","Burbank, J.",unknown
"DeWalt, R. Edward","Sangunett, Brandi",unknown
"DeWalt, R. Edward","Pessino, Massimo",unknown
"Pessino, Massimo","Hernandez, E. W.",unknown
"Hernandez, E. W.","Brown, M. M.",unknown
"Brown, M. M.","Hernandez, E.",unknown
"DeWalt, R. Edward","Ferguson, S.K.",unknown
"DeWalt, R. Edward","McQuaid, Jacob",unknown
"McQuaid, Jacob","South, Eric J.",unknown
"South, Eric J.","Kondratieff, Boris C.",unknown
"Kondratieff, Boris C.","Verdone, C.",unknown
"Verdone, C.","Griffin, O.",unknown
"Kondratieff, Boris C.","Sandberg, J. B.",unknown
"Kondratieff, Boris C.","Kirchner, Ralph F.",unknown
"Kirchner, Ralph F.","Zuellig, Robert E.",unknown
"South, Eric J.","Gamble, Nicole",unknown
"South, Eric J.","Lukens, Kaleb",unknown
"DeWalt, R. Edward","Smith, J. M",unknown
"DeWalt, R. Edward","Smith, E. J.",unknown
"DeWalt, R. Edward","Chabot, Ember T.",unknown
"DeWalt, R. Edward","Harper, Pierre Paul",unknown
"Harper, Pierre Paul","Alsterlund, J. F.",unknown
"Alsterlund, J. F.","Shelford, Victor Ernest",unknown
"Shelford, Victor Ernest","Riegel, G.",unknown
"Riegel, G.","Burke, Horace R.",unknown
"Burke, Horace R.","Ross, Herbert Holdsworth",unknown
"Ross, Herbert Holdsworth","Burks, B. D.",unknown
"Burks, B. D.","Mohr, C.O.",unknown
"Mohr, C.O.","Burks, B.D.",unknown
"Mohr, C.O.","Riegel, Garland Tavner",unknown
"Riegel, Garland Tavner","Musselman, T.E.",unknown
"Mohr, C.O.","Frison, Theodore Henry",unknown
"Frison, Theodore Henry","DeLong, Dwight Moore",unknown
"Frison, Theodore Henry","Sanderson, Milton W.",unknown
"Sanderson, Milton W.",Leighton,unknown
"Sanderson, Milton W.","Stannard, Lewis J.",unknown
"Stannard, Lewis J.","Goodnight, Clarence James",older
"Goodnight, Clarence James","Goodnight, Marie Louise",younger
"Stannard, Lewis J.","Page, L.M.",unknown
"Page, L.M.","Webb, Donald Wayne",unknown
"Webb, Donald Wayne","Vogt, Tim",unknown
"Webb, Donald Wayne",Page,unknown
Page,Vogt,unknown
"Webb, Donald Wayne","Irwin, Michael E.",unknown
"Irwin, Michael E.","Gaimari, Stephen D.",unknown
"Gaimari, Stephen D.","Metz, Mark A.",unknown
"Metz, Mark A.","Holston, Kevin",unknown
"Holston, Kevin","Yang, Liyuan",unknown
"Yang, Liyuan","Winterton, Shaun L",unknown
"Irwin, Michael E.","Schlinger, Evert I.",unknown
"Schlinger, Evert I.","Rasolondaloa, H.H.",unknown
"Schlinger, Evert I.","Maddox, J.V.",unknown
"Irwin, Michael E.","Barria, G.",unknown
"Irwin, Michael E.","Figueroa, O.",unknown
